Nr;Datum;Lieferant;Rechnung Nr.;Betrag netto (EUR);Betrag brutto (EUR);Status / Anmerkung
1;22.04.2026;Poschacher Baustoffhandel;262011083;;;offen - Betrag aus PDF
2;02.05.2026;LW Hochbau (BVH Freudenthaler);RE2026-103 (Regie);;;offen - Betrag aus PDF
3;02.05.2026;LW Hochbau (BVH Freudenthaler);RE2026-104 (Pauschal);;;offen - Betrag aus PDF
4;13.05.2026;Pramer Baustoffe GmbH (XPS 50 mm / Kleber / Drainflex);261406743;374,74;449,69;OK - ausgelesen
5;18.05.2026;LW Hochbau (korrigierte Rechnungen);lt. E-Mail-Anhang;;;Korrektur zu Nr. 2/3 - kein Zusatzbetrag
6;26.05.2026;Poschacher Baustoffhandel;262016265;;;offen - Betrag aus PDF
7;26.05.2026;Poschacher Baustoffhandel;262016266;;;offen - Betrag aus PDF
8;09.06.2026;Poschacher Baustoffhandel;262018401;;;offen - Betrag aus PDF
9;22.06.2026;GK-Dach GmbH (Buchberger);-;;;offen - Betrag aus PDF
10;25.06.2026;Poschacher Baustoffhandel;262021644;;;offen - Betrag aus PDF
11;25.06.2026;Poschacher Baustoffhandel;262021645;;;offen - Betrag aus PDF
12;01.07.2026;GK-Dach GmbH (Spenglerei);3260333;;;offen - Betrag aus PDF
13;13.07.2026;Poschacher Baustoffhandel;262024862;;;offen - Betrag aus PDF
14;13.07.2026;Poschacher Baustoffhandel;262024863;;;offen - Betrag aus PDF
15;23.07.2026;Quarzolith (Moertelerzeugung Sattledt GmbH);2637223;2057,69;2469,23;"NEU - erfasst; Skonto 2% bis 31.07.2026 = 2.419,85 EUR"
